Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Image Src,Image Alt Text,SEO Title,SEO Description,Status
custom-logo-slate-coaster-single,"Custom Logo Slate Coaster — Single","<p>Showcase your business, team, or organization logo on premium natural slate. Our precision laser engraving creates crisp, professional results perfect for corporate gifts, promotional items, or branded merchandise.</p><h3>Features</h3><ul><li>Premium natural slate with unique texture</li><li>High-contrast logo engraving</li><li>4"" x 4"" square (approximately)</li><li>Cork backing to protect surfaces</li><li>Heat and moisture resistant</li></ul><h3>Logo Requirements</h3><p>Upload your logo in PNG, JPG, or vector format (AI, SVG, PDF preferred). High-resolution files produce the best results. We'll send a proof for approval before production.</p><h3>Bulk Orders</h3><p>Need 25+ coasters? <a href=""/pages/request-quote"">Request a quote</a> for volume pricing.</p>",LayerLaunch Laser Labs,Home & Garden > Kitchen & Dining > Barware > Coasters,Coaster,"coaster, logo, business, corporate, branding, slate, single, gift",TRUE,,,,,SC-LOGO-SINGLE,227,shopify,40,deny,manual,14.00,,TRUE,TRUE,,Custom logo engraved slate coaster,Custom Logo Slate Coaster | LayerLaunch Laser Labs,Professional logo engraving on premium natural slate coasters. Perfect for corporate gifts and branding.,active
custom-logo-slate-coaster-set-4,"Custom Logo Slate Coaster — Set of 4","<p>Professional branded coaster sets for your business, team, or organization. Each coaster features your logo precision-engraved on premium natural slate — perfect for client gifts, office décor, or promotional items.</p><h3>Features</h3><ul><li>Set of 4 matching coasters</li><li>Premium natural slate with unique texture</li><li>High-contrast logo engraving</li><li>4"" x 4"" square each (approximately)</li><li>Cork backing to protect surfaces</li></ul><h3>Logo Requirements</h3><p>Upload your logo in PNG, JPG, or vector format (AI, SVG, PDF preferred). We'll send a proof for approval before production.</p><h3>Bulk Orders</h3><p>Need 25+ coasters? <a href=""/pages/request-quote"">Request a quote</a> for volume pricing and custom packaging options.</p>",LayerLaunch Laser Labs,Home & Garden > Kitchen & Dining > Barware > Coasters,Coaster,"coaster, logo, business, corporate, branding, slate, set, gift",TRUE,,,,,SC-LOGO-SET4,908,shopify,25,deny,manual,48.00,56.00,TRUE,TRUE,,Set of 4 custom logo slate coasters,Custom Logo Slate Coaster Set of 4 | LayerLaunch Laser Labs,Set of 4 professional logo-engraved slate coasters. Perfect for corporate gifts and branding.,active
custom-text-slate-coaster-single,"Custom Text Slate Coaster — Single","<p>Create a personalized slate coaster with your own custom text. Perfect for names, dates, quotes, addresses, or any message you want to commemorate. Our precision laser engraving creates beautiful, lasting results.</p><h3>Features</h3><ul><li>Premium natural slate with unique texture</li><li>High-contrast text engraving</li><li>4"" x 4"" square (approximately)</li><li>Cork backing to protect surfaces</li><li>Multiple font options available</li></ul><h3>Personalization</h3><p>Enter your custom text during checkout. Up to 4 lines of text, 25 characters per line maximum. Select your preferred font style.</p><h3>Popular Uses</h3><ul><li>Wedding dates and couple names</li><li>New home addresses</li><li>Memorial tributes</li><li>Favorite quotes</li><li>Family names</li></ul>",LayerLaunch Laser Labs,Home & Garden > Kitchen & Dining > Barware > Coasters,Coaster,"coaster, text, custom, personalized, slate, single, gift, wedding, memorial",TRUE,Font Style,Script,,,SC-TEXT-SCRIPT,227,shopify,50,deny,manual,12.00,,TRUE,TRUE,,Custom text engraved slate coaster,Custom Text Slate Coaster | LayerLaunch Laser Labs,Personalized text engraving on premium natural slate coasters. Perfect for names dates and special messages.,active
custom-text-slate-coaster-single,,,,,,,TRUE,Font Style,Block,,,SC-TEXT-BLOCK,227,shopify,50,deny,manual,12.00,,TRUE,TRUE,,,,,
custom-text-slate-coaster-single,,,,,,,TRUE,Font Style,Modern,,,SC-TEXT-MODERN,227,shopify,50,deny,manual,12.00,,TRUE,TRUE,,,,,
custom-text-slate-coaster-set-4,"Custom Text Slate Coaster — Set of 4","<p>A beautiful set of 4 matching slate coasters featuring your custom text. Perfect for wedding gifts, housewarming presents, or any occasion worth commemorating.</p><h3>Features</h3><ul><li>Set of 4 matching coasters</li><li>Premium natural slate with unique texture</li><li>High-contrast text engraving</li><li>4"" x 4"" square each (approximately)</li><li>Cork backing to protect surfaces</li></ul><h3>Personalization</h3><p>Enter your custom text during checkout. Up to 4 lines of text, 25 characters per line maximum. All 4 coasters feature the same text.</p><h3>Perfect For</h3><ul><li>Wedding and anniversary gifts</li><li>Housewarming presents</li><li>Family reunions</li><li>Corporate gifts</li></ul>",LayerLaunch Laser Labs,Home & Garden > Kitchen & Dining > Barware > Coasters,Coaster,"coaster, text, custom, personalized, slate, set, gift, wedding, memorial",TRUE,Font Style,Script,,,SC-TEXT-SET4-SCRIPT,908,shopify,30,deny,manual,40.00,48.00,TRUE,TRUE,,Set of 4 custom text slate coasters,Custom Text Slate Coaster Set of 4 | LayerLaunch Laser Labs,Set of 4 personalized text-engraved slate coasters. Perfect for weddings housewarming and special occasions.,active
custom-text-slate-coaster-set-4,,,,,,,TRUE,Font Style,Block,,,SC-TEXT-SET4-BLOCK,908,shopify,30,deny,manual,40.00,48.00,TRUE,TRUE,,,,,
custom-text-slate-coaster-set-4,,,,,,,TRUE,Font Style,Modern,,,SC-TEXT-SET4-MODERN,908,shopify,30,deny,manual,40.00,48.00,TRUE,TRUE,,,,,
slate-coaster-bulk-pack-10,"Slate Coaster Bulk Pack — 10 Coasters","<p>Our best value for larger orders! This bulk pack of 10 matching slate coasters is perfect for events, gifts, or stocking up for your home. Choose from our design library or customize with your own text, photo, or logo.</p><h3>Features</h3><ul><li>10 matching coasters</li><li>Premium natural slate</li><li>High-contrast laser engraving</li><li>4"" x 4"" square each</li><li>Cork backing</li></ul><h3>Customization Options</h3><ul><li>Text engraving (included)</li><li>Design library selection (included)</li><li>Photo engraving (additional $15)</li><li>Logo engraving (additional $10)</li></ul><h3>Even Larger Orders?</h3><p>Need 25+ coasters? <a href=""/pages/request-quote"">Request a quote</a> for volume pricing.</p>",LayerLaunch Laser Labs,Home & Garden > Kitchen & Dining > Barware > Coasters,Coaster,"coaster, bulk, value, slate, set, gift, event, wedding",TRUE,Customization Type,Text Engraving,,,SC-BULK10-TEXT,2270,shopify,15,deny,manual,90.00,120.00,TRUE,TRUE,,Bulk pack of 10 custom slate coasters,Slate Coaster Bulk Pack 10 | LayerLaunch Laser Labs,Best value bulk pack of 10 custom engraved slate coasters. Perfect for events weddings and larger orders.,active
slate-coaster-bulk-pack-10,,,,,,,TRUE,Customization Type,Design Library,,,SC-BULK10-DESIGN,2270,shopify,15,deny,manual,90.00,120.00,TRUE,TRUE,,,,,
slate-coaster-bulk-pack-10,,,,,,,TRUE,Customization Type,Photo Engraving,,,SC-BULK10-PHOTO,2270,shopify,15,deny,manual,105.00,135.00,TRUE,TRUE,,,,,
slate-coaster-bulk-pack-10,,,,,,,TRUE,Customization Type,Logo Engraving,,,SC-BULK10-LOGO,2270,shopify,15,deny,manual,100.00,130.00,TRUE,TRUE,,,,,
golf-ball-marker-custom,"Custom Golf Ball Marker","<p>Mark your ball in style with a custom-engraved golf ball marker. Perfect for personal use or as tournament prizes. Each marker features precision laser engraving on durable metal.</p><h3>Features</h3><ul><li>1"" diameter metal marker</li><li>Magnetic attachment compatible</li><li>Durable, weather-resistant</li><li>High-detail laser engraving</li></ul><h3>Customization Options</h3><p>Add your initials, lucky number, logo, or choose from our golf-themed designs. Specify your customization in the order notes or upload your design after ordering.</p><h3>Bulk Orders</h3><p>Perfect for golf tournaments! <a href=""/pages/request-quote"">Request a quote</a> for 25+ markers.</p>",LayerLaunch Laser Labs,Sporting Goods > Golf > Golf Accessories,Golf Accessory,"golf, ball marker, custom, personalized, gift, sports, tournament",TRUE,Design,Custom Initials,,,GBM-INITIALS,28,shopify,100,deny,manual,12.00,,TRUE,TRUE,,Custom engraved golf ball marker,Custom Golf Ball Marker | LayerLaunch Laser Labs,Custom-engraved golf ball markers. Perfect for personal use or tournament prizes. Magnetic attachment compatible.,active
golf-ball-marker-custom,,,,,,,TRUE,Design,Custom Logo,,,GBM-LOGO,28,shopify,100,deny,manual,14.00,,TRUE,TRUE,,,,,
golf-ball-marker-custom,,,,,,,TRUE,Design,Golf Course Map,,,GBM-COURSE,28,shopify,100,deny,manual,16.00,,TRUE,TRUE,,,,,
golf-ball-marker-set-4,"Custom Golf Ball Marker — Set of 4","<p>Never lose your marker again! This set of 4 custom-engraved golf ball markers ensures you always have a backup. Mix and match designs or get 4 matching markers — perfect for gifts or personal use.</p><h3>Features</h3><ul><li>Set of 4 markers</li><li>1"" diameter metal markers</li><li>Magnetic attachment compatible</li><li>Durable, weather-resistant</li></ul><h3>Customization</h3><p>All 4 markers feature the same design. Choose initials, logo, or a golf-themed design.</p>",LayerLaunch Laser Labs,Sporting Goods > Golf > Golf Accessories,Golf Accessory,"golf, ball marker, custom, personalized, gift, sports, set",TRUE,Design,Custom Initials,,,GBM-SET4-INITIALS,112,shopify,50,deny,manual,40.00,48.00,TRUE,TRUE,,Set of 4 custom golf ball markers,Custom Golf Ball Marker Set of 4 | LayerLaunch Laser Labs,Set of 4 custom-engraved golf ball markers. Perfect gift for golfers.,active
golf-ball-marker-set-4,,,,,,,TRUE,Design,Custom Logo,,,GBM-SET4-LOGO,112,shopify,50,deny,manual,48.00,56.00,TRUE,TRUE,,,,,
